subject,object,predicate
Pars Oil Company,Tehran Stock Exchange,TRADES_ON
Dana Energy,business,IS_A
Dana Energy,petroleum industry,IN_INDUSTRY
Naftogaz,business,IS_A
Naftogaz,enterprise,IS_A
Naftogaz,petroleum industry,IN_INDUSTRY
Naftogaz,joint-stock company,IS_A
Pakistan Petroleum,business,IS_A
Pakistan Petroleum,enterprise,IS_A
Pakistan Petroleum,petroleum industry,IN_INDUSTRY
Pakistan Petroleum,joint-stock company,IS_A
Pakistan Petroleum,Government of Pakistan,OWNED_BY
Transgaz,business,IS_A
Transgaz,enterprise,IS_A
Transgaz,petroleum industry,IN_INDUSTRY
Transgaz,public company,IS_A
The Hong Kong and China Gas Company,business,IS_A
The Hong Kong and China Gas Company,enterprise,IS_A
The Hong Kong and China Gas Company,petroleum industry,IN_INDUSTRY
The Hong Kong and China Gas Company,joint-stock company,IS_A
The Hong Kong and China Gas Company,Hong Kong Stock Exchange,TRADES_ON
Shenergy Company,public company,IS_A
Shenergy Company,petroleum industry,IN_INDUSTRY
Shenergy Company,public company,IS_A
Shenergy Company,Shanghai Stock Exchange,TRADES_ON
STP,business,IS_A
STP,petroleum industry,IN_INDUSTRY
Perenco,oil company,IS_A
Perenco,business,IS_A
Perenco,petroleum industry,IN_INDUSTRY
Penn West Exploration,business,IS_A
Penn West Exploration,petroleum industry,IN_INDUSTRY
Penn West Exploration,corporation,IS_A
Penn West Exploration,Toronto Stock Exchange,TRADES_ON
Penn West Exploration,New York Stock Exchange,TRADES_ON
Texaco,business,IS_A
Texaco,enterprise,IS_A
Texaco,petroleum industry,IN_INDUSTRY
Texaco,company,IS_A
Texaco,Chevron Corporation,OWNED_BY
Atlantic Petroleum,business,IS_A
Atlantic Petroleum,enterprise,IS_A
Atlantic Petroleum,petroleum industry,IN_INDUSTRY
Atlantic Petroleum,public company,IS_A
Atlantic Petroleum,Oslo Stock Exchange,TRADES_ON
Atlantic Petroleum,Copenhagen Stock Exchange,TRADES_ON
Blue Ensign Technologies,business,IS_A
Blue Ensign Technologies,enterprise,IS_A
Blue Ensign Technologies,petroleum industry,IN_INDUSTRY
Blue Ensign Technologies,joint-stock company,IS_A
BOTAŞ,business,IS_A
BOTAŞ,enterprise,IS_A
BOTAŞ,petroleum industry,IN_INDUSTRY
BOTAŞ,Anonim Şirket,IS_A
China National Offshore Oil Corporation,government-owned corporation,IS_A
China National Offshore Oil Corporation,business,IS_A
China National Offshore Oil Corporation,petroleum industry,IN_INDUSTRY
China National Offshore Oil Corporation,government-owned corporation,IS_A
Bahrain Petroleum Company,business,IS_A
Bahrain Petroleum Company,petroleum industry,IN_INDUSTRY
Sinopec,business,IS_A
Sinopec,enterprise,IS_A
Sinopec,petroleum industry,IN_INDUSTRY
Sinopec,joint-stock company,IS_A
Sinopec,New York Stock Exchange,TRADES_ON
Sinopec,London Stock Exchange,TRADES_ON
Sinopec,Hong Kong Stock Exchange,TRADES_ON
Sinopec,Shenzhen Stock Exchange,TRADES_ON
Sinopec,Shanghai Stock Exchange,TRADES_ON
Sinopec,China Petrochemical Corporation,OWNED_BY
Yukos,business,IS_A
Yukos,enterprise,IS_A
Yukos,petroleum industry,IN_INDUSTRY
Yukos,joint-stock company,IS_A
Talisman Energy,business,IS_A
Talisman Energy,petroleum industry,IN_INDUSTRY
Talisman Energy,BP Canada,WAS_PREVIOUSLY
Talisman Energy,corporation,IS_A
Talisman Energy,Toronto Stock Exchange,TRADES_ON
Talisman Energy,New York Stock Exchange,TRADES_ON
Talisman Energy,Repsol,OWNED_BY
Origin Energy,business,IS_A
Origin Energy,enterprise,IS_A
Origin Energy,petroleum industry,IN_INDUSTRY
Origin Energy,joint-stock company,IS_A
Origin Energy,Australian Securities Exchange,TRADES_ON
Bharat Petroleum,business,IS_A
Bharat Petroleum,petroleum industry,IN_INDUSTRY
Bharat Petroleum,Government of India,OWNED_BY
Burmah Oil,business,IS_A
Burmah Oil,enterprise,IS_A
Burmah Oil,petroleum industry,IN_INDUSTRY
Burmah Oil,public company,IS_A
Esso,business,IS_A
Esso,brick and mortar company,IS_A
Esso,gas station,IS_A
