'[''FUEL_BRAND BP'', ''FUEL_BRAND Caltex'', ''FUEL_BRAND Costco'', ''FUEL_BRAND Independent'', ''FUEL_BRAND Liberty'', ''FUEL_BRAND Metro Fuel'', ''FUEL_BRAND Mobil'', ''FUEL_BRAND Park Fuels'', ''FUEL_BRAND Puma Energy'', ''FUEL_BRAND Shell'', ''FUEL_BRAND Speedway'', ''FUEL_BRAND United'', ''HAS_FUEL_TYPE B20'', ''HAS_FUEL_TYPE DL'', ''HAS_FUEL_TYPE E10'', ''HAS_FUEL_TYPE E85'', ''HAS_FUEL_TYPE LNG'', ''HAS_FUEL_TYPE LPG'', ''HAS_FUEL_TYPE P95'', ''HAS_FUEL_TYPE P98'', ''HAS_FUEL_TYPE PDL'', ''HAS_FUEL_TYPE U91'', ''HAS_POPULATION'', ''HAS_POSTCODE'', ''RETAIL_BRAND 7-Eleven'', ''RETAIL_BRAND BP'', ''RETAIL_BRAND Budget'', ''RETAIL_BRAND Caltex'', ''RETAIL_BRAND Caltex Woolworths'', ''RETAIL_BRAND Coles Express'', ''RETAIL_BRAND Costco'', ''RETAIL_BRAND Enhance'', ''RETAIL_BRAND Independent'', ''RETAIL_BRAND Liberty'', ''RETAIL_BRAND Lowes'', ''RETAIL_BRAND Matilda'', ''RETAIL_BRAND Metro Fuel'', ''RETAIL_BRAND Mobil'', ''RETAIL_BRAND Prime Petroleum'', ''RETAIL_BRAND Puma Energy'', ''RETAIL_BRAND Shell'', ''RETAIL_BRAND Speedway'', ''RETAIL_BRAND United'', ''RETAIL_BRAND Westside'']'
7-Eleven Edmondson Park,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, ''2171'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Emerton,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, ''2252'', ''2770'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Emu Plains,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, -1, ''2750'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Enmore,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, -1, ''2042'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Epping,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, ''23688'', ''2121'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Erina,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, ''4774'', ''2250'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Fairfield,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, ''18081'', ''2165'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Fairfield West,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, ''11575'', ''2165'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Five Dock,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, ''9356'', ''2046'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Georges Hall,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, ''9038'', ''2198'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Gosford West,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, -1, ''2250'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Goulburn,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, ''2580'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
7-Eleven Granville,'[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, ''15332'', ''2142'', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]'
